 ID,SHA256,APT-group,Country,attack_sequence
1,b6bc96ffcbdbf22f908a02b8fe2a392c8e5b8420a120935c2834f0dd5934832e,APT1,China,"['T1059', 'T1086', 'T1047']"
2,3bff207897f6d8cd8f8e178a565d5efdd7d65c6bc270636995d328c768b02af2,APT1,China,"['T1047', 'T1059', 'T1086']"
3,df649cef1505653a2fc4361f1e2e34f7148b60c00e1cf663943d6e65b43ec421,APT1,China,"['T1105', 'T1059', 'T1086']"
7,13e40ee7c6874e2f1ed58bc09738a5525f86361f1a85387b2110f114d8f3272a,APT1,China,"['T1047', 'T1059', 'T1086']"
9,3eaa53ec7fe5fb610bb9a0dd3d0b93480869b829aac3733d2dc0cd83e77ec2fe,APT1,China,"['T1105', 'T1059', 'T1047']"
11,cebb47280cd00814e1c085c5bc3fbac0e9f91168999091f199a1b1d209edd814,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
13,ec3a37a635c8ccd6c80c725f3808e21352872184fe4e9b1b96b4b6ed379fc85d,APT1,China,"['T1047', 'T1059', 'T1105', 'T1086']"
14,57866e54b1808069092ade9ac8e243650f18198a24924899d83746d97a66f400,APT1,China,"['T1105', 'T1059', 'T1047']"
17,dbbd5d7944b1791027762a40a70b3c74772a9d31b5c67b6519394a1705edabcc,APT1,China,"['T1086', 'T1059', 'T1047', 'T1105']"
23,eec094bd3604a2fd84333113fbc0aee4fe394c5b74c7cc28216aa53d714d1bf3,APT1,China,"['T1059', 'T1086', 'T1047', 'T1105']"
31,c62de4a72361cf1db38ba8c4f59d386f0e1c02f190cf6c8698ae3a14295bcb04,APT1,China,"['T1059', 'T1105', 'T1086']"
33,4123011354d8259e919fbdf605be1973a79100074959dca9d0cd1955667b8e93,APT1,China,"['T1059', 'T1105', 'T1086', 'T1047']"
44,36359f58c213b58f35367f691d08ddedb276b38ef2c3e7fab1e83e1014a41f26,APT1,China,"['T1105', 'T1086', 'T1047', 'T1059']"
45,e655fc36b76c1df15c237abf1e70da875a6680a4a2fcd5616f373b14757f2270,APT1,China,"['T1086', 'T1059', 'T1047', 'T1105']"
46,f690b329b0c17e8f9f832dee6d57b644fb2c476877337661010461b0f2b1a6ea,APT1,China,"['T1047', 'T1059', 'T1105']"
47,e6a2b6355fd513a8ce24deef488ee3cc39f5d736915965875c54f81c19e52971,APT1,China,"['T1086', 'T1105', 'T1059', 'T1047']"
48,f682bdbd612c0215192be6c52f08f10c01e7af9a3136c2f67ec3e7ba563f565d,APT1,China,"['T1047', 'T1059', 'T1105']"
49,139f7a50e8ff402759a3c118bbcc700732d6e8b63b55a7fb31d12030722ca5a4,APT1,China,"['T1086', 'T1059', 'T1105', 'T1047']"
50,911ca97af69b531fa2c7cf56546fdc02b3daa1fde71e23d65c1f8f18355e3e1c,APT1,China,"['T1105', 'T1047', 'T1086']"
52,3eca4278063b047dfa87e109c8b0ee7809f582d96e528c4db2f9596c897e92be,APT1,China,"['T1086', 'T1059', 'T1105']"
53,21101ae64d881df51e46be9e4f693a9029862c5dab8a53d504303c53a5d1d7a3,APT1,China,"['T1105', 'T1086', 'T1047', 'T1059']"
54,b263f7ed4806b95c7c06521704b8dddbc0b2d02885eec8181e1e65b4ad112918,APT1,China,"['T1047', 'T1086', 'T1105']"
57,dbeb6f7ea2bcd7dc2d20006b9c5338b6f2e258129b439b406cdf7c239383babe,APT1,China,"['T1059', 'T1105', 'T1086']"
58,e420b42c5a34bc32a43ff9264dc2a110cb6efcd430df1208cc5837e0c5df81e1,APT1,China,"['T1105', 'T1086', 'T1059']"
60,1f0ed53e5471dbafad18fb9ae4abc97cd8bb0387b381c68244478558d7247c7a,APT1,China,"['T1105', 'T1086', 'T1047', 'T1059']"
64,1b3ee0274ae0ac0b83dba7f95f00e2381a5d3596d136eb1fac842a07d8d25262,APT1,China,"['T1059', 'T1086', 'T1047']"
67,de823816c0003896911355c92396806d31a694ca5a5b7b73f1b1869f0c7e9b6a,APT1,China,"['T1059', 'T1047', 'T1086', 'T1105']"
69,46ec4b32dc3e293a2076d218bae721315f4f718b7c068ca368a798d2d19613e5,APT1,China,"['T1059', 'T1086', 'T1047', 'T1105']"
74,ca87326771eff77b636bcd3855822332c319a656f06e996940947a307262db4f,APT1,China,"['T1086', 'T1105', 'T1059']"
79,ce82f2b530f028644c8c7238c065eb88e4af153598447179aa784482efba454e,APT1,China,"['T1086', 'T1059', 'T1105']"
81,42df046e2728ef98042283530a8b0ab7d70b3f819cb83fd560ce5ce5caa0c462,APT1,China,"['T1105', 'T1059', 'T1086', 'T1047']"
85,f7f97a9c180534e8184c006a0ef24a5609e84fcd33047151d987138bbbe96ddc,APT1,China,"['T1047', 'T1059', 'T1086', 'T1105']"
86,8e3976565c3792df7dba6e27501fcd24cd6ba329cc7d0293b4b3f1edde589aab,APT1,China,"['T1105', 'T1059', 'T1086']"
87,e7ac03729bc141cfac40bd7dadba7abd3c714fb1715034b44e28cd5561336a3a,APT1,China,"['T1105', 'T1086', 'T1059']"
88,dcbc9d204549f768a24ec821f2b709c86caf0f5821514d9004b62443ec3e6933,APT1,China,"['T1105', 'T1059', 'T1086', 'T1047']"
89,f79e4adc2cd11f9e44023cbdb827777a0c44af44bb19b494bef2d2d8e6e3be02,APT1,China,"['T1086', 'T1047', 'T1105', 'T1059']"
91,3aee06747c29dece72b537c6f7b6c36c1e65ee11c2501b6c285802ae52edb036,APT1,China,"['T1047', 'T1059', 'T1105']"
94,f6b5d52f3680c53839a1078e9a33ff6fa439af6cb9002cbbb227f3a3b831ed30,APT1,China,"['T1047', 'T1086', 'T1059']"
95,58da2fe190b50f90484753f92fafe9f61a13c9217e593e55b6dafe32b12dc049,APT1,China,"['T1059', 'T1086', 'T1105']"
97,d66262b736bbe3b10b433b804af8f20532855394f12400b17c4b80299b455c9f,APT1,China,"['T1059', 'T1105', 'T1047']"
99,40d45fb455cf2db58dda6a57d437e626d5d7d86d4598d4afccab0ac7ff6d6b3e,APT1,China,"['T1047', 'T1105', 'T1086']"
100,aa94057d957736005bd6c70dba96b39b60121e0a4b35db03d5b9dfdbf5e58537,APT1,China,"['T1047', 'T1086', 'T1105']"
102,ef3b6b3060ef897724cea9ac2080b1201d08c9e6a0dad0ecf492c08441a4f604,APT1,China,"['T1105', 'T1047', 'T1059']"
108,f27593fd1d391f9925230a1abc12b8f3791fc43ea980ecefa281147c1070b00d,APT1,China,"['T1059', 'T1086', 'T1047']"
115,a0a422d24a3d60e47916d6bc6618924cbd69d815b4cb79cd3d120e2d2ccc90c4,APT1,China,"['T1105', 'T1047', 'T1086', 'T1059']"
117,83b69c237fecbb8d382add7f3fc9026838cea8228c610cdbe1bbc11be6f84de9,APT1,China,"['T1059', 'T1047', 'T1086']"
118,89e0016fc5bd3cd4e25f88c70f9f8f13f81a45e3c6dc8ac2a4be44b5c5274957,APT1,China,"['T1047', 'T1059', 'T1086']"
119,e7cfe7169b058b460fd172b59e809779a98ca0f17e4202fd1f0df6795626fac4,APT1,China,"['T1047', 'T1105', 'T1059', 'T1086']"
121,85bca7ec25d2b226be5e8e20d51fc7718366f70291a398b6aa617d734a3e7ba1,APT1,China,"['T1047', 'T1059', 'T1105', 'T1086']"
122,f1a8310f1caecc51dae572e37747c06c1ad08fb221a768157963422643893c34,APT1,China,"['T1059', 'T1105', 'T1086']"
123,16632b14f50fcace587ec54d70359f45a32e68a5abb2bad971c778aa6b99d3ab,APT1,China,"['T1105', 'T1047', 'T1086']"
124,f77e7138ed19455151ae35ebac34643b70694edbf4baeaa69ba4d901c51d08e1,APT1,China,"['T1105', 'T1059', 'T1086']"
125,4144820d9b31c4d3c54025a4368b32f727077c3ec253753360349a783846747f,APT1,China,"['T1059', 'T1047', 'T1086', 'T1105']"
126,e275504b461903238e81c19de3bb460e8e1e30d69a47b913106caf0a6de29add,APT1,China,"['T1105', 'T1086', 'T1047', 'T1059']"
128,6e417e9fadda9948ed7a8bf472d48285126369c407aad8b0b3cd1e8229f26fa6,APT1,China,"['T1086', 'T1059', 'T1105']"
138,c466345ca697cdf2ad5fee438bbb842cd7f2a154f4b963be02dd03199dfd839d,APT1,China,"['T1086', 'T1059', 'T1105']"
142,471bcf0fe2115ca50b075edddd179ea11336fe9431ceba9892f910f91f6407e0,APT1,China,"['T1047', 'T1059', 'T1086', 'T1105']"
144,6816a0e8a3e00504b854cefd9ad11351e676697d80ecc06cf63a5dfa58b75a86,APT1,China,"['T1059', 'T1086', 'T1105']"
145,f0f7a1997a1ad57ce62bd32ace27304a6b925af8b63513c8007181e8bb5da919,APT1,China,"['T1059', 'T1086', 'T1105', 'T1047']"
150,3b2b1a923caaa15985d51d1cc560001b598e90d9c06982df93e4cc6201917449,APT1,China,"['T1105', 'T1086', 'T1047']"
154,57b75fe922c7852dca17425c84ef8f9c14b4d49ace577b82c427cdab28591931,APT1,China,"['T1047', 'T1086', 'T1105', 'T1059']"
155,13fcf8519a6108ce7e826feffe2c46447cfb2f093fb961e6a2fdaff2a41499f4,APT1,China,"['T1105', 'T1059', 'T1047', 'T1086']"
156,4075f872440ec3a85bc7dd0ec5bc386f451a734dfb680f7e5f2559b735df9a6d,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
158,52ad0acb46717dd6603195b4f33dc3bf32611a487eec89a83a9ee7744285562f,APT1,China,"['T1047', 'T1086', 'T1105']"
161,815854f24334183ac78eca4edd21773858ef199df578b931c2ef619f5e8f8887,APT1,China,"['T1086', 'T1059', 'T1105']"
164,35dac829564bce2c398ba3fae50c3f40b65846d7a9810e456f5a853e76e4b336,APT1,China,"['T1086', 'T1059', 'T1047', 'T1105']"
171,801a2d3687e64f6d0f70fefe1ac09686716e7317b88f3b24e54e76957601346f,APT1,China,"['T1086', 'T1105', 'T1059']"
173,77f1d83c0e43b4dbb39e93055cb474aca5c6bc7365b4a6c3f8dd3494a0c34d12,APT1,China,"['T1086', 'T1059', 'T1105']"
174,f44e46804f9b34cc573b53cc3c2df1d741e160b4f0a54ac962eec92ac4a36010,APT1,China,"['T1086', 'T1047', 'T1059']"
175,6c0c3172ba927af3b3cb7a8dec90ba35a1e1d4f0b9086e1385de83c682860f73,APT1,China,"['T1047', 'T1086', 'T1105', 'T1059']"
